226707	226730	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
581	580	224639	226512	NaN	NaN	NaN	NaN	NaN	NaN
198	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
228096	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
211	220045	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
220179	225309	6701	6	227243	224167	51	455	NaN	NaN
220181	220052	225312	224322	6702	443	52	456	NaN	NaN
8368	8441	225310	8555	8440	NaN	NaN	NaN	NaN	NaN
220210	3337	224422	618	3603	615	NaN	NaN	NaN	NaN
220277	646	834	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3655	223762	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
223761	678	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
220074	113	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
492	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
491	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8448	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
116	1372	1366	228368	228177	NaN	NaN	NaN	NaN	NaN
626	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
467	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
223835	3420	160	727	NaN	NaN	NaN	NaN	NaN	NaN
190	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
470	471	223834	227287	194	224691	NaN	NaN	NaN	NaN
220339	506	505	224700	NaN	NaN	NaN	NaN	NaN	NaN
224686	224684	684	224421	3083	2566	654	3050	681	2311
224687	450	448	445	NaN	NaN	NaN	NaN	NaN	NaN
224697	444	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
224695	535	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
224696	543	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN